tconst,titleType,startYear,runtimeMinutes,genres,averageRating,sex_code,violence_code,profanity_code,drug_code,intense_code,final_certificate
tt0110907,movie,1994,133.0,"Comedy,Drama",5.2,3.0,1.0,3.0,2.0,1.0,T16
tt0109936,movie,1994,113.0,Comedy,6.3,2.0,2.0,2.0,2.0,1.0,K
tt0047811,movie,1955,89.0,"Drama,Music,Romance",7.6,1.0,2.0,1.0,2.0,1.0,K
tt1687247,movie,2011,95.0,"Documentary,Drama",7.6,2.0,3.0,3.0,2.0,3.0,T13
tt0044391,movie,1952,118.0,"Drama,Romance",7.8,1.0,1.0,1.0,2.0,2.0,T18
tt0313670,movie,2002,106.0,"Crime,Drama",7.4,1.0,3.0,4.0,3.0,4.0,T16
tt0460890,movie,2017,89.0,Drama,6.3,2.0,1.0,2.0,3.0,1.0,T16
tt0084352,movie,1982,77.0,"Comedy,Documentary,Musical",7.9,3.0,2.0,3.0,2.0,1.0,K
tt0108526,movie,1993,72.0,"Adventure,Animation,Comedy",6.0,1.0,2.0,1.0,1.0,3.0,P
tt1386691,movie,2017,86.0,"Action,Crime,Drama",6.3,3.0,3.0,3.0,2.0,2.0,T16
tt21279138,movie,2022,114.0,Drama,3.9,1.0,2.0,2.0,1.0,3.0,K
tt0059170,movie,1965,83.0,"Action,Comedy",6.6,2.0,3.0,2.0,2.0,3.0,T16
tt1705772,movie,2011,155.0,"Action,Crime,Thriller",7.7,2.0,4.0,4.0,4.0,3.0,T13
tt2561546,movie,2014,86.0,"Horror,Mystery,Thriller",5.6,3.0,4.0,4.0,2.0,4.0,T16
tt1836944,movie,2012,98.0,"Action,Comedy,Crime",6.3,2.0,4.0,4.0,2.0,3.0,T16
tt0470765,movie,2006,86.0,Comedy,6.3,1.0,1.0,2.0,1.0,1.0,T13
tt3756788,movie,2015,127.0,"Drama,Family",7.5,1.0,1.0,1.0,2.0,1.0,K
tt0117119,movie,1996,101.0,"Adventure,Comedy",6.5,2.0,2.0,3.0,2.0,2.0,K
tt1597522,movie,2012,110.0,"Adventure,Comedy,Family",5.3,1.0,2.0,1.0,1.0,1.0,K
tt17220704,movie,2022,98.0,"Comedy,Family",6.7,1.0,1.0,2.0,2.0,1.0,K
tt12298506,movie,2020,100.0,"Horror,Mystery,Sci-Fi",6.2,1.0,2.0,2.0,2.0,3.0,T13
tt9357050,movie,2021,137.0,"Drama,Musical",6.1,2.0,1.0,2.0,2.0,2.0,T13
tt0280720,movie,2002,94.0,"Comedy,Music,Romance",5.4,3.0,1.0,4.0,2.0,1.0,T16
tt0060934,movie,1966,182.0,"Adventure,Drama,Romance",7.6,2.0,3.0,2.0,2.0,3.0,T18
tt10600398,movie,2020,100.0,"Action,Comedy,Drama",4.7,1.0,2.0,1.0,1.0,2.0,P
tt0186975,movie,2000,91.0,"Comedy,Drama,Romance",5.0,2.0,2.0,3.0,3.0,1.0,T13
tt6905696,movie,2018,104.0,"Action,Comedy,Fantasy",5.3,2.0,3.0,3.0,2.0,3.0,T16
tt0102316,movie,1991,99.0,Drama,6.6,1.0,2.0,3.0,2.0,1.0,T18
tt8413338,movie,2019,135.0,"Comedy,Drama,Romance",8.5,1.0,1.0,1.0,3.0,2.0,K
tt1235841,movie,2011,95.0,"Comedy,Drama",7.5,3.0,1.0,2.0,3.0,1.0,T18
tt0358349,movie,2004,100.0,"Action,Adventure,Comedy",4.5,2.0,2.0,2.0,2.0,1.0,K
tt0107840,movie,1993,109.0,"Drama,Romance",6.1,3.0,3.0,4.0,3.0,3.0,T16
